Beitrag
"Da der Mörder ja lebend festgenommen werden die Standard-Leser ja vielleicht schon bald die Hintergründe der Morde und seine Motive erfahren. Bis dahin möchte ich lediglich darauf hinweisen, dass auch Waffenbesitzer Hirnschäden erleidenund von geistiger Umnachtung betroffen sein können. Unbändiger Hass und Zorn sind menschliche Gemütszustände, in denen der Betroffene besser keinen Zugriff auf scharfe Schusswaffen haben sollte. Mich wundert, dass sich unbändiger Hass und Zorn noch nicht gegen die Verantwortlichen der NRA gerichtet hat."
"Achtung:IronieNordkorea gehört von der UNESCO geschützt, als Freiluftmuseum für spätere Generationen. Wäre doch ein versöhnlicher Schritt des Westens und interessant für unsere Nachkommen, damit auch die noch ihre Köpfe schütteln, verwirrt lächeln und sich fragen können: Was zum Teufel treiben die da den ganzen Tag?"
"Herr Renzi,zu solchen schmerzhaften Entscheidungen kommt es leider, wenn man die Außengrenze nicht richtig schützt. Wir sollten daher auf volle Abschottung setzen, mit der ein effektiver Schutz der Außengrenze einher gehen muss. Zudem sollten alle Leistungen an Flüchtlinge auf ein Minimum zurückgefahren werden, um nicht noch mehr Anreize zu schaffen. Dann werden solche Maßnahmen, wie die am Brenner, hoffentlich überflüssig und den Leuten bleibt der Schmerz erspart."
"Es ist ja noch nicht so lange her,dass am Brenner kontrolliert wurde. Ich kann mich noch sehr gut daran erinnern, und ich fand das nicht unzumutbar. Da die Aussengrenzen der EU derzeit in Südeuropa ungesichert sind, ist es für mich nur logisch, die Grenzen zwischen den einzelnen Staaten besser abzusichern. Sollte sich allerdings herausstellen, dass die Südeuropäischen Länder längerfristig ihren Verpflichtungen zum Schutz der EU - Aussengrenzen, auch trotz EU - Unterstützung, nicht nachkommen, muss die EU - Aussengrenze neu definiert werden.  Die Methode, Eindringlinge, oft unkontrolliert oder unerfasst, und damit auch unsortiert, einfach nach Deutschlad durchzuwinken, darf so dauerhaft nicht praktiziert werden."
"Dieser Waffenstillstand scheint wenig Wert. Zwar stimmt die syrische Regierung den von USA und Russland ausgehaneldten Bedingungen weitgehend zu.    Das Problem ist aber die Türkei: Sie will weiter gegen die kurdischen YPG in Syrien vorgehen. Es ist ungeheuerlich, dass man derart klare Völkerrechtsverletzungen der Türkei durchgehen läßt. Hier sind die USA gefragt, den Waffenstillstand auch gegenüber der Türkei durchzusetzen."
"Ich möchte gar nicht darüber diskutieren, ob angemessen oder nicht. Wichtig ist, dass Herr Schmidt bestraft wird. Ich hoffe, seine Verbannung wird der Mannschaft nicht nachhaltig schaden. Erstaunt und gleichzeitig erfreut bin ich über die Strafe des Herrn Völlers. Damit hatte ich nicht gerechnet. Gerechtfertigt ist sie allemal."
"Ökonomie und Ökologie auf eine gemeinsame Linie bringen. Die Menschheit in eine dauerhafte Zukunft führen, das Solarzeitalter. Das ist seit Herbst 1991 erklärtes Ziel der ""PEGE - Planetary Engineering Group Earth"" (LINK Eine Grundeinstellung der Wirtschaft muß sich ändern. Nicht ewiges Wachstum, ein solches Ziel hat sonst nur Krebs bis zum Tod des befallenen (LINK, sondern ein dauerhafter hoher Lebensstandard muß das Ziel der Entwicklung sein. Die bestehende Wirtschaft muß dafür nur auf eine dauerhafte Energieversorgung umgestellt werden. Wachstum brauchen nur noch arme Länder, wir haben genug, es muß nur dauerhaft sein und gerecht verteilt werden."
"Konsum funktioniert als Glücksbringer tatsächlich nicht, wie man im Grunde leicht an sich selbst beobachten kann. Die eigentliche Lust ist der Moment des Kaufens, das Interesse am erlangten Produkt erodiert indes ruckzuck - was doch jeder weiss - und Ernüchterung ersetzt Lust, was zum nächsten Kauf führt - sehr vereinfacht formuliert. Diese Schleife produziert Unzufriedenheit und Leere."
"Wie bekannt ist die Situation auf der Koreanischen Halbinsel besonders fragil, seit dem Koreakrieg existiert kein Friedensvertrag sondern lediglich ein Waffenstillstand. Wenn es erneut zu einer militärischen Auseinandersetzung kommen würde, dann wären zwangsläufig auch die VR China und die USA involviert. Da sich beide auf eine gemeinsame Resolution bei der UNO geeinigt haben, signalisiert man damit auch, man hat keinerlei Interesse an einer Eskalation in Korea.  Für China dürfte dabei insbesondere von Belang sein, für die eigenen Wirtschaft ist Südkorea längst der sehr viel wichtigere Partner."
"Für mich sieht es so aus, als hätten es ""die Funktionäre der Fifa immer wieder geschafft, sich eine Parallelwelt zurechtzumauscheln, ein Universum, in dem vor allem eines verpönt ist: ein Mentalitätswandel."" Genau deswegen glaube ich nicht an einen Wandel: Wieso sollten diese Männer (und sehr wenigen Frauen) denn nicht weiter häkeln an ihrem Universum, sobald ""die Justiz in den USA und der Schweiz"" ihre ""Paragraphenkeule"" weggelegt hat? Es kann ja schließlich nicht mehr all zu lange dauern bis da hin."
"Ich glaube nicht einmal daran, dass wenigstens ""die Öffentlichkeit"" bereits ""kapiert"" hat, ""wie ernst die Lage ist"". Der ""irreparable Imageschaden, eine neuerliche Reformverweigerung"" ist ihr ganz offensichtlich völlig schnuppe. Weil: Bislang ist die Fifa ja noch alternativlos für jeden, der auch morgen mit Fußball reich werden oder doch wenigstens Fußball geschenkt kriegen will. Wer soll schon ernsthaft ""über Alternativen nachdenken"", wenn er damit im Grunde nur verlieren kann?"
"Augenwischerei vor den WahlenDas Asylpaket II basiert auf Ausweisung / Abschiebung, wenn diese aber nicht existiert ist auch das Paket für den Müll. Wenn man letztes Jahr (2015) sagen und schreibe rund 15.000 Personen abgeschoben hat sollte einmal erklären wie dann z. B. 300.000 oder noch mehr, abgeschoben werden solllen. Allein für die angenommen 300.000 würde Deutschland 20 Jahre brauchen um allein diese Menge abzuschieben.Mit der Maßnahme werden die Probleme nicht besser bzw. so bekommt unsere Regierung das Chaos nicht in den Griff."
"Ein hilfloser, alter, zahnloser Papiertiger soll wohl die kommenden Landtagswahlen noch drehen, die Regelung zum Familiennachzug ist reiner Augentrost - betrifft ja fast keinen Migranten.  Ich hoffe sehr, der Wähler durchschaut diese Schmierenkomödie  Die wichtigste Regelung fehlt: die schnelle Grenzschliessung!"
"Das Merkel Rettungpaket ist so ähnlich wie die Griechenland Rettungspakete, irgendwie alternativlos aber auch wirkungslos. Griechenland wird demnächst wieder auf der Agenda erscheinen und das Asyldeama wird uns in spätestens 6 Monaten einholen, wenn irgendjemand aus der GROKO den Mut hat auszurechnen, was uns das ganze kosten wird und wo das Frischgeld herkommen soll."
"...und Bayern bereitet sich auf Grenzschließung vorDie Wiederaufnahme von Grenzkontrollen sind nicht dazu geeignet, zum Gegenstand eines politischen Richtungsstreit gemacht zu werden.  Sie entsprechen vielmehr dem wohlverstandenen Schutzbedürfnis eines jeden Staates und seiner Bevölkerung.  Trotz des eilfertigen und insgesamt nicht überzeugenden Dementis im Hinblick auf die hohe Zahl von Flüchtlingen mit unbekanntem Aufenthaltsort ist es an der Zeit, daß in Deutschland wieder den administrativen Mindestanforderungen für die Gewährung von Sicherheit Rechnung getragen wird.  Andere EU Staaten haben dies längst erkannt und die entsprechenden Konsequenzen gezogen."
"Ich schätze den Uli Hoeneß als (normalerweise) klugen Mann und gutem ehemaligem Bayern Präsidenten.  Bin aber auch der Meinung, daß ein Comeback als Bayernchef keine gute Idee ist.  In dem Alter und mit dieser Vorgeschichte wird das nichts mehr.....  Der Mann sollte sich eine ruhige Tätigkeit beim FCB suchen und somit noch den Verein mitgestalten."
"""Russland und die USA nehmen noch bis Mittag syrischer Ortszeit Anträge auf Teilnahme an der Waffenruhe in Syrien entgegen. Danach tritt ab Mitternacht zu Samstag die Feuerpause in Kraft.""    Ich finde das ziemlich clever von den USA und der RF. Wer von den ""Rebellen"" morgen weiter kämpft, kriegt auf die Mütze. Das haben die beiden großen Player gestern nochmal bestätigt."
"Ohne durch das völkerrechtliche gedeckte Eingreifen Putins im Syreinkonflikt - er agiret auf Bitten und Einladung der syrischen Regierung - hätte es keine Waffenstillstandsvereinbarung gegeben. Und das fürchterliche Schlachten kann nur beendet werden, wenn es wieder eine stabile Regierung, von mir aus auch mit Assad, in Syrien gibt. Wir haben schon ausreichend Probleme mit den ""kopflosen"" Staaten."
Sensationelle LeistungStephen Currys und der Warriors. Gerade im Hinblick auf die Leistungsdichte der Top-Teams in der Western Conference ist diese Bilanz umso beeindruckender. Als langjähriger Warriors-Fan reibt man sich die Augen - kann das stimmen oder ist die Bilanz doch nicht wie in früheren Zeiten üblich doch eher 5:52?
"Es soll sich um Profis gehandelt haben. Sämtliche Kommunikationseinsrichtung an Bord wurde zerstört.  Das Versorgungsschiff gehört der französischen Firma Bourbon. Zahlreiche Schiffes des Unternehmens fahren unter Luxemburger Flagge. Vor drei Jahren wurde ein Tochterschiff, die ""Bourbon Liberty 308"" von Piraten gekapert..."
"Immer wieder neue, beinahe tägliche Horrormeldungen von Mordanschlägen von Islamisten in zumeist islamischen Ländern, während zugleich von der Weltgemeinschaft der Islam als ""friedlich und tolerant"" abermals verteidigt wird. Ist nun der Islam das Problem oder sind dessen Urheber und Repräsentanten das eigentliche Problem?"
"Es ist gesetzliche Pflicht, dass Griechenland seine Grenzen, d.h. die EU-Außengrenzen sichert. Warum sollten nun auf einmal alle Regelungen außer Kraft gesetzt werden? Dieser nicht enden wollende Ansturm von Flüchtlingen ist nicht mehr zu bewältigen und sollte auf keinen Fall noch erleichtert werden. Asyl und Flüchtlingsschutz ja, aber nicht um den Preis der Rechtsstaatlichkeit."
"""Warum sollten nun auf einmal alle Regelungen außer Kraft gesetzt werden?"" Deutschland hat vorgemacht wie man seine internationalen Verpflichtungen einseitig aussetzt (Dublin). Ist natürlich toll wenn man sich aussuchen darf welche Gesetze und Verträge man einhalten möchte und welche nicht genehm sind."
"Östereich trifft keine SchuldLuftschadstoffe können über weite Entfernungen transportiert werden.Müsen als gar nicht in Österrreich entstanden sein.  Zum Diesel-Privileg:In der Schweiz werden die Treibstoffe seit langer Zeit nach Energiegehalt und nicht nach Volumen besteuert. Da Diesel eine grössere Verbrennungsenergie pro Masse enthält und gleichzeitig eine grössere Dichte als die üblichen Benzinsorten aufweist, ist hier Diesel deutlich teurerer als Benzin."
"""Nein. Angela Merkel steuert nicht um. Ich sitze hier, ich kann nicht anders.""  ""Glaube versetzt Berge. Wenn nur genügend viele daran glauben.""    Soll dies ein Resümee der gestrigen, von den öffentlich-rechtlichen Anstalten inszenierten Merkelschen Wahlveranstaltung sein?    Bei soviel Realitätsverweigerung der Kanzlerin und der Priorität des Glaubens vor den Fakten kann ich nur kopfschüttelnd aus Heinrich Heines 'Nachtgedanken' zitieren:    ""Denk ich an Deutschland in der Nacht, dann bin ich um den Schlaf gebracht."""
"Frau Merkel:""Niemand hat die Absicht eine Mauer zu bauen."" Und schickt ihr Militär nach Griechenland zur Grenzsicherung. Gibt der Türkei 3 Mrd. Euro für die Rücknahme der Flüchtlinge Südeuropas und den Mauerbau an der syrischen Grenze. Nachdem Sie Deutschland als ""ihr"" Land titulierte und es alle achselzuckend hinnahmen, ging sie jetzt sogar noch einen Schritt weiter. Jetzt ist sogar ganz Europa ""ihr"" Europa."
"Der Berg kreiste und gebar eine Maus. Da wurde viel Trara um diese Reise gemacht und jetzt dieses Ergebnis. Hierzu würde ich Herrn de Maiziere gerne einige Fragen stellen:    - Was ist mit den Marokkanern, die nicht im Heimatland erfaßt wurden?  - Wie ist garantiert, das Marokko bei Anfragen die Wahrheit sagt und nicht einfach behauptet, der Betroffene sei kein Marokkaner?  - ""Die marokkanische Seite hat mitgeteilt, dass sie dann in aller Regel innerhalb von 45 Tagen antwortet"": abgesehen davon, dass 45 Tage eine halbe Ewigkeit ist: was heißt ""in der Regel""? Dass nach dem Gusto von Marokko auch mal 60 oder 90 Tage rauskommen werden?  - Wie schnell stellt Marokko bei Anfragen Ersatzdokumente aus, wenn die Marokkanische Herkunft bestätigt wurde?"
Dieses Camp wurde ilegal errichtetund viel zu lange duch zu zögeliches Verhalten des Staates geduldet. Frankreich hat ein ausgeprägtes Sozialssystem und kein Asylsuchender braucht sich eigene illegale Unterkünfte zu errichten nur um den Zug nach England besser zu erwischen. Diese Räumung war schon längst ûberfällig. Wozu sind Gesetze da wenn sie nicht mit aller Macht des Staates verteidigt werden.
"Die Räumung war notwendig. Es kann ja nicht angehen, dass sich dort städtische Strukturen bilden, wo Leute wohnen, Geschäfte betreiben und versterben und der Staat nimmt davon nicht einmal Notiz. Für was protestieren denn ""Hilfsorganisationen""? Von wirklicher Hilfe kann ja dort keine Rede sein, wenn man dabei helfen will, die Leute in diesen Behausungen weiter campieren zu lassen."
"Frankreich und Hollande haben zu lange gewartet, dadurch hat sich die Lage zum schlechteren manifestiert! Es wird keine Lösungen zum besseren mehr geben! Europa wird vermutlich politisch untergehen und damit sitzen die Linke und Rechte im selben Boot! Wäre ich noch jünger , so würde ich vermutlich jetzt auswandern."
"96 muss das Spiel gestern schnell abhaken, die waren einfach besser. In der ersten halben Stunde war tatsächlich etwas Struktur im Hannoveraner Spiel und das war dann besser als gegen Augsburg und Mainz in 90 Minuten. Also etwas besser. Nicht mehr so herzzerreißend inkompetent. Jedenfalls kommen jetzt die Spiele gegen Bremen, Köln und Frankfurt und damit die letzte Patrone - wenn dort nicht mehrfach gepunktet wird, gehen tatsächlich die Lichter aus."
"Die Wahl zwishen Pest und Cholera?Ich würde Sanders noch nicht abschreiben.  Wenn man sich die Ergebnisse von gestern genauer anschaut und  bedenkt, welche Staaten noch bei den Primaries anstehen,  dann gibt's durchaus noch Hoffnung.  Die NYT hat immer die beste Darstellung der Resultate....  LINK  Dort findet man auch die noch kommenden Vorwahltermine."
"""Wo auch immer Sie herkommen: Kommen Sie nicht nach Europa"", sagte der EU-Ratspräsident bei einem Besuch in Athen. ""Glauben Sie nicht den Schmugglern. Riskieren Sie nicht Ihr Leben und Ihr Geld. Es ist alles umsonst.""  ---------------------  Dieser Appell hätte am letzten Sonntag in der ARD-One-Woman-Show die Kanzlerin formulieren müssen - laut, deutlich und bei laufender Kamera !"
"So weit ist es schon gekommen, dass ich einem Herrn Tusk applaudieren muss. Es ist aber nicht zu fassen, wie lange es dauert, dass sich diese Position, die seit langer Zeit die überwiegende Mehrheit in Europa einnimmt, auch in der europäischen politischen Spitze herumspricht.  ""Glauben Sie nicht den Schleppern"".  Lieber spät, als nie, diese Aussage. Ich fürchte aber, sie kommt viel zu spät. Was ich aus Helferkreisen höre, welche Erwartungen einige Migranten haben..., einfach abenteuerlich...."
"Leider zu früh finden diese Landtagswahlen statt. Wären diese erst in 2-3 Monaten - wir hätten noch deutlichere Ergebnisse. Die Merkel versucht zu retten, was zu retten ist. Man darf gespannt sein, was unmittelbar nach der Wahl in Sachen Migrationspolitik passieren wird. Nun kann es u.U. sogar so sein, dass die CDU mit der gleichen Konstellation wie im Bund ein Ministerpräsidentenamt erobert (RLP). Die CDU ist für mich ein völlig desolater Haufen, der nur auf Merkel fokussiert ist - das ist hoch riskant und geht mit relativer Wahrscheinlichkeit mittelfristig in die Hose. Man stellt sich die Frage, wen man außerhalb von Bayern als konservativ eingestellter Wähler noch wählen kann. Die CDU in der derzeitigen Verfassung jedenfalls nicht."
"Eine schallende Ohrfeige für Mutti und ihre chaotische Politik.In Bawü ziehen die Grünen vorbei,in SA steuert die AfD auf 20% zu und nebenbei kommt sie auch noch in alle drei Parlamente,eventuell überall zweistellig.Mal sehen,was die Medien sich einfallen lassen,um Mutti anschließend aus der Schusslinie zu nehmen.Vermutlich wollte der Wähler dann die ""abtrünnigen"" CDU-Landespolitiker abstrafen....man muß heute ja mit allerlei Umdeutungen rechnen.Die Wahrheit ist:Es war von Anfang an ein Irrweg und man wird diese Tatsache nicht ewig leugnen können."
"Es liegt eine gewisse Tragik darin, dass die Entscheidungsträger auf die falschen Berater gesetzt haben. Bei der Einführung des Euro haben nicht alle Ökonomen die Folgen erkannt und manche mussten erst dazu lernen. Aber heute ist es für mehr als 2/3 der Ökonomen und Währungsexperten klar, wie der Krisenmechanismus funktioniert. Es ist völlig klar, dass das Ur-Übel die Euro-Zwangsjacke ist. Auch die Finanzkrise (subprime) wäre glimpflicher verlaufen, wenn der Euro nicht wäre. Und vor allem muss man sagen, allen Ländern, auch Deutschland, würde es heute ohne Euro besser gehen."
"Die Türkei hat in Syrien mitgezündelt. Jetzt soll der Brandstifter noch Milliarden dafür bekommen, um mit den Folgen seiner Brandstiftung umgehen zu können. Wie wäre es anstatt Milliardenzahlungen mit der Androhung von Wirtschaftssanktionen, falls die Türkei ihre Grenzen nicht überwacht? Ohne den Exportmarkt EU wäre die türkische Wirtschaft schnell am Ende."
"Es ist wirklich zum Verzweifeln. In ein paar Jahrzehnten wird man auf das letzte Jahr zurückblicken und feststellen, dass nach den Parlamentswahlen vom Juni 2015, bei denen Erdogan seine parlamentarische Mehrheit verlor, die letzte Chance auf die Rettung der türkischen Demokratie vergeben wurde. Schuld daran war nicht nur Erdogan, der einen blutigen Bürgerkrieg anzettelte, um durch Neuwahlen seinen Machtverlust zu korrigieren"
"Hinter vielen großen Männern steht oft eine ebenso große Frau. Und Ronald Reagan war einer der großen. Was hat man sich über ihn mokiert, wie oft ist er als simpler Cowboydarsteller verunglimpft worden? In Wahrheit war er einer derjenigen, die richtig und falsch gut unterscheiden konnten und die ruhig, gelassen und zielstrebig für uns den Kalten Krieg gewonnen haben. In Ostdeutschland, Polen, Tschechien, im Baltikum etc. sollte man ihm Denkmäler aufstellen. Ohne seine Frau wäre er das alles vermutlich nicht geworden. Und wenn man bedenkt, was für Figuren danach kamen und was für Knallchargen uns jetzt als US-Präsidenten bevorstehen: God bless America!"
"Europäische Staaten, welche gleichzeitig NATO-Mitglieder sind,sollten Herrn Erdogan erklärendass sie sich jetzt der Wurzel des Übels annehmen. Volle Konzentration auf die Zerschlagung des IS in Syrien und im Irak. Grenzsicherung zur Türkei durch Unterstützung der Schaffung eines soliden und starken, souveränen Kurdenstaates mit Billigung der Syrer und Iraker. Ausrüstung und Bewaffnung der kurdischen Streitkräfte zur erfolgreichen Unterstützung der internationalen Bemühungen , den islamistischen Terror in der Region endgülig niederzuschlagen. Sicherung des Existenzrechtes des Kurdenstattes durch die internationale Gemeinschaft. Gegebenenfalls westliche Militärhilfe. (klappt ja bei Israel auch). Die dadurch wachsende Stabilität in der Regiion dürfte zu einer deutlichen Reduzierung der Flüchtlingsströme führen."
"Über die Balkanroute kommen die Menschen illegal, das gilt es ja wohl zu stoppen. Wo ist denn der Unterschied zwischen einer geschlossenen Balkanroute und einer geschlossenen Türkei aus der Sicht der Flüchtlinge? Da gibt es keinen. Nur Frau Merkel steht besser da und Schengen soll erhalten bleiben für die Wirtschaft. Eine geschlossene Balkanroute macht Europa ein wenig unabhängiger von der Türkei, und das kann ja wohl nur gut sein.  Unsere Kanzlerin ist unbelehrbar und ich wünschte, wir hätten Politiker vom Format und der Klarheit eines Sebastian Kurz aus Österreich."
